    c,  1.0,    a,  3.0,    a,  1.0,    1
    c,  1.0,    a,  4.0,    a,  1.0,    1
    c,  1.0,    a,  5.0,    a,  1.0,    1
    c,  1.0,    a,  6.0,    a,  1.0,    1
    c,  1.0,    a,  7.0,    a,  1.0,    1
    c,  1.0,    a,  8.0,    a,  1.0,    1
    c,  2.0,    a,  3.0,    a,  1.0,    1
    c,  2.0,    a,  4.0,    a,  1.0,    1
    c,  2.0,    a,  4.0,    a,  2.0,    1
    c,  2.0,    a,  5.0,    a,  1.0,    1
    c,  2.0,    a,  5.0,    a,  2.0,    1
    c,  2.0,    a,  6.0,    a,  1.0,    1
    c,  2.0,    a,  6.0,    a,  2.0,    1
    c,  2.0,    a,  7.0,    a,  1.0,    1
    c,  2.0,    a,  7.0,    a,  2.0,    1
    c,  2.0,    a,  8.0,    a,  1.0,    1
    c,  2.0,    a,  8.0,    a,  2.0,    1
    c,  3.0,    a,  1.0,    c,  1.0,    1
    c,  3.0,    e,  1.0,    c,  1.0,    1
    c,  3.0,    f,  1.0,    c,  1.0,    1
    c,  3.0,    g,  1.0,    c,  1.0,    1
    c,  3.0,    h,  1.0,    c,  1.0,    1
    d,  3.0,    a,  1.0,    d,  1.0,    1
    d,  3.0,    b,  1.0,    d,  1.0,    1
    d,  3.0,    f,  1.0,    d,  1.0,    1
    d,  3.0,    g,  1.0,    d,  1.0,    1
    d,  3.0,    h,  1.0,    d,  1.0,    1
    c,  1.0,    c,  3.0,    a,  2.0,    1
    c,  1.0,    d,  3.0,    a,  2.0,    1
    c,  1.0,    e,  3.0,    a,  2.0,    1
    c,  1.0,    f,  3.0,    a,  2.0,    1
    c,  1.0,    g,  3.0,    a,  2.0,    1
    c,  1.0,    h,  3.0,    a,  2.0,    1
    c,  2.0,    b,  3.0,    a,  2.0,    1
    c,  2.0,    b,  4.0,    a,  1.0,    1
    c,  2.0,    b,  5.0,    a,  1.0,    1
    c,  2.0,    b,  6.0,    a,  1.0,    1
    c,  2.0,    b,  7.0,    a,  1.0,    1
    c,  2.0,    b,  8.0,    a,  1.0,    1
